"AOD_Satellite","42001","42003","42005","42007","42009","42011","42013","42015","42017","42019","42021","42025","42027","42029","42031","42033","42035","42037","42039","42041","42043","42045","42047","42049","42051","42055","42057","42059","42061","42063","42065","42069","42071","42073","42075","42077","42079","42081","42083","42085","42087","42089","42091","42093","42095","42097","42101","42105","42107","42111","42115","42117","42119","42121","42123","42125","42127","42129","42131","42133"
"ID","2244","2245","2246","2247","2248","2249","2250","2251","2252","2253","2254","2256","2257","2258","2259","2260","2261","2262","2263","2264","2265","2266","2267","2268","2269","2271","2272","2273","2274","2275","2276","2278","2279","2280","2281","2282","2283","2284","2285","2286","2287","2288","2289","2290","2291","2292","2294","2296","2297","2299","2301","2302","2303","2304","2305","2306","2307","2308","2309","2310"
"FIPS","42001","42003","42005","42007","42009","42011","42013","42015","42017","42019","42021","42025","42027","42029","42031","42033","42035","42037","42039","42041","42043","42045","42047","42049","42051","42055","42057","42059","42061","42063","42065","42069","42071","42073","42075","42077","42079","42081","42083","42085","42087","42089","42091","42093","42095","42097","42101","42105","42107","42111","42115","42117","42119","42121","42123","42125","42127","42129","42131","42133"
"State","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA","PA"
"County","Adams County","Allegheny County","Armstrong County","Beaver County","Bedford County","Berks County","Blair County","Bradford County","Bucks County","Butler County","Cambria County","Carbon County","Centre County","Chester County","Clarion County","Clearfield County","Clinton County","Columbia County","Crawford County","Cumberland County","Dauphin County","Delaware County","Elk County","Erie County","Fayette County","Franklin County","Fulton County","Greene County","Huntingdon County","Indiana County","Jefferson County","Lackawanna County","Lancaster County","Lawrence County","Lebanon County","Lehigh County","Luzerne County","Lycoming County","McKean County","Mercer County","Mifflin County","Monroe County","Montgomery County","Montour County","Northampton County","Northumberland County","Philadelphia County","Potter County","Schuylkill County","Somerset County","Susquehanna County","Tioga County","Union County","Venango County","Warren County","Washington County","Wayne County","Westmoreland County","Wyoming County","York County"
"Full","Adams County, PA","Allegheny County, PA","Armstrong County, PA","Beaver County, PA","Bedford County, PA","Berks County, PA","Blair County, PA","Bradford County, PA","Bucks County, PA","Butler County, PA","Cambria County, PA","Carbon County, PA","Centre County, PA","Chester County, PA","Clarion County, PA","Clearfield County, PA","Clinton County, PA","Columbia County, PA","Crawford County, PA","Cumberland County, PA","Dauphin County, PA","Delaware County, PA","Elk County, PA","Erie County, PA","Fayette County, PA","Franklin County, PA","Fulton County, PA","Greene County, PA","Huntingdon County, PA","Indiana County, PA","Jefferson County, PA","Lackawanna County, PA","Lancaster County, PA","Lawrence County, PA","Lebanon County, PA","Lehigh County, PA","Luzerne County, PA","Lycoming County, PA","McKean County, PA","Mercer County, PA","Mifflin County, PA","Monroe County, PA","Montgomery County, PA","Montour County, PA","Northampton County, PA","Northumberland County, PA","Philadelphia County, PA","Potter County, PA","Schuylkill County, PA","Somerset County, PA","Susquehanna County, PA","Tioga County, PA","Union County, PA","Venango County, PA","Warren County, PA","Washington County, PA","Wayne County, PA","Westmoreland County, PA","Wyoming County, PA","York County, PA"
"02/05/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/06/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/07/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/08/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/09/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/10/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/11/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/12/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/13/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/14/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/15/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/16/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/17/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/18/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/19/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/20/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/21/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/22/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/23/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/24/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/25/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/26/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/27/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/28/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"02/29/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/01/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/02/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/03/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/04/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/05/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/06/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/07/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/08/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/09/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/10/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/11/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/12/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/13/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/14/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
"03/15/2020","0.2118","0.2506","0.2475","0.2481","0.2729","0.6162","0.3981","0.3471","0.0831","0.079","0.4892","0.3048","0.2892","0.1436","0.4771","0.6054","0.486","0.2768","0.5064","0.1615","0.4975","0.4131","0.1166","0.6194","0.6248","0.3373","0.2201","0.435","0.4908","0.5484","0.3312","0.5252","0.4573","0.4694","0.5328","0.635","0.6089","0.421","0.5462","0.542","0.4723","0.3064","0.1653","0.3111","0.2876","0.5006","0.9204","0.4417","0.4506","0.4226","0.2064","0.3153","0.3605","0.4229","0.2134","0.1694","0.2631","0.1379","0.1121","0.329"
